Entry_Datetime,Future_Traded_Price,ATM,Days_to_Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_Price,CE_Exit_Datetime,PE_Symbol,PE_Entry_Price,PE_Exit_Price,PE_Exit_Datetime,PnL
2019-03-22 09:20:00,30024.95,30000,6,BANKNIFTY28MAR1930000CE.NFO,265.2,89.9,2019-03-22 15:10:00,BANKNIFTY28MAR1930000PE.NFO,228.2,273.84,2019-03-22 10:31:00,129.66
2019-03-25 09:20:00,29297.0,29300,3,BANKNIFTY28MAR1929300CE.NFO,204.7,176.4,2019-03-25 15:10:00,BANKNIFTY28MAR1929300PE.NFO,207.9,183.65,2019-03-25 15:10:00,52.54999999999998
2019-03-26 09:20:00,29379.85,29400,2,BANKNIFTY28MAR1929400CE.NFO,143.9,172.68,2019-03-26 09:32:00,BANKNIFTY28MAR1929400PE.NFO,164.3,29.6,2019-03-26 15:10:00,105.92000000000002
2019-03-27 09:20:00,30175.0,30200,1,BANKNIFTY28MAR1930200CE.NFO,156.45,187.73999999999998,2019-03-27 12:24:00,BANKNIFTY28MAR1930200PE.NFO,169.55,203.46,2019-03-27 09:36:00,-65.19999999999999
2019-03-28 09:20:00,30022.2,30000,0,BANKNIFTY28MAR1930000CE.NFO,97.45,116.94,2019-03-28 09:46:00,BANKNIFTY28MAR1930000PE.NFO,82.1,0.25,2019-03-28 15:10:00,62.36
2019-03-29 09:20:00,30591.0,30600,6,BANKNIFTY04APR1930600CE.NFO,291.75,245.45,2019-03-29 15:10:00,BANKNIFTY04APR1930600PE.NFO,386.8,464.16,2019-03-29 09:39:00,-31.060000000000002
2019-04-01 09:20:00,30738.05,30700,3,BANKNIFTY04APR1930700CE.NFO,270.05,158.0,2019-04-01 15:10:00,BANKNIFTY04APR1930700PE.NFO,309.5,371.4,2019-04-01 15:07:00,50.150000000000034
2019-04-02 09:20:00,30356.95,30400,2,BANKNIFTY04APR1930400CE.NFO,189.9,227.88,2019-04-02 11:24:00,BANKNIFTY04APR1930400PE.NFO,320.2,215.95,2019-04-02 15:10:00,66.27000000000001
2019-04-03 09:20:00,30718.8,30700,1,BANKNIFTY04APR1930700CE.NFO,147.9,26.2,2019-04-03 15:10:00,BANKNIFTY04APR1930700PE.NFO,224.65,269.58000000000004,2019-04-03 11:34:00,76.76999999999997
2019-04-04 09:20:00,30269.15,30300,0,BANKNIFTY04APR1930300CE.NFO,51.75,62.1,2019-04-04 09:32:00,BANKNIFTY04APR1930300PE.NFO,211.25,253.5,2019-04-04 11:53:00,-52.6
2019-04-05 09:20:00,30255.55,30200,6,BANKNIFTY11APR1930200CE.NFO,216.85,176.05,2019-04-05 15:10:00,BANKNIFTY11APR1930200PE.NFO,265.45,318.53999999999996,2019-04-05 11:13:00,-12.289999999999992
